Start time:, 1647331307195166870
End time:, 1647331308045577516
Total time:, 850410646

Reaction Executions
Reactor, Reaction, Occurrences, Total Time, Pct Total Time, Avg Time, Max Time, Min Time
customers, 1, 12, 583, 0.000069, 48, 88, 27
customers, 2, 12, 598, 0.000070, 49, 85, 35
customers, 1, 12, 583, 0.000069, 48, 83, 34
customers, 2, 12, 586, 0.000069, 48, 83, 35
customers, 1, 12, 580, 0.000068, 48, 85, 34
customers, 2, 12, 577, 0.000068, 48, 86, 28
customers, 1, 12, 572, 0.000067, 47, 88, 34
customers, 2, 12, 601, 0.000071, 50, 106, 35
customers, 1, 12, 577, 0.000068, 48, 85, 35
customers, 2, 12, 574, 0.000067, 47, 85, 28
customers, 1, 12, 566, 0.000067, 47, 86, 27
customers, 2, 12, 565, 0.000066, 47, 88, 28
customers, 1, 12, 559, 0.000066, 46, 86, 28
customers, 2, 12, 601, 0.000071, 50, 88, 29
customers, 1, 12, 590, 0.000069, 49, 93, 35
customers, 2, 12, 625, 0.000073, 52, 88, 35
customers, 1, 12, 539, 0.000063, 44, 72, 34
customers, 2, 12, 529, 0.000062, 44, 74, 34
customers, 1, 12, 502, 0.000059, 41, 73, 28
customers, 2, 12, 504, 0.000059, 42, 69, 28
customers, 1, 12, 507, 0.000060, 42, 68, 35
customers, 2, 12, 498, 0.000059, 41, 70, 28
customers, 1, 12, 510, 0.000060, 42, 74, 28
customers, 2, 12, 523, 0.000061, 43, 74, 35
customers, 1, 12, 496, 0.000058, 41, 72, 28
customers, 2, 12, 500, 0.000059, 41, 71, 28
customers, 1, 12, 507, 0.000060, 42, 70, 34
customers, 2, 12, 539, 0.000063, 44, 78, 30
customers, 1, 12, 504, 0.000059, 42, 73, 34
customers, 2, 12, 509, 0.000060, 42, 74, 28
customers, 1, 12, 498, 0.000059, 41, 72, 27
customers, 2, 12, 513, 0.000060, 42, 74, 28
customers, 1, 12, 497, 0.000058, 41, 72, 28
customers, 2, 12, 515, 0.000061, 42, 74, 29
customers, 1, 12, 510, 0.000060, 42, 72, 29
customers, 2, 12, 518, 0.000061, 43, 74, 34
customers, 1, 12, 502, 0.000059, 41, 72, 28
customers, 2, 12, 518, 0.000061, 43, 72, 35
customers, 1, 12, 486, 0.000057, 40, 70, 27
customers, 2, 12, 491, 0.000058, 40, 73, 28
customers, 1, 12, 496, 0.000058, 41, 72, 27
customers, 2, 12, 510, 0.000060, 42, 74, 29
customers, 1, 12, 543, 0.000064, 45, 77, 35
customers, 2, 12, 513, 0.000060, 42, 70, 35
customers, 1, 12, 501, 0.000059, 41, 72, 29
customers, 2, 12, 512, 0.000060, 42, 72, 28
customers, 1, 12, 526, 0.000062, 43, 76, 29
customers, 2, 12, 510, 0.000060, 42, 70, 35
customers, 1, 12, 500, 0.000059, 41, 74, 28
customers, 2, 12, 519, 0.000061, 43, 73, 36
customers, 1, 12, 509, 0.000060, 42, 74, 34
customers, 2, 12, 530, 0.000062, 44, 72, 35
customers, 1, 12, 513, 0.000060, 42, 74, 34
customers, 2, 12, 501, 0.000059, 41, 70, 29
customers, 1, 12, 494, 0.000058, 41, 72, 28
customers, 2, 12, 513, 0.000060, 42, 74, 29
customers, 1, 12, 514, 0.000060, 42, 71, 35
customers, 2, 12, 507, 0.000060, 42, 72, 28
customers, 1, 12, 518, 0.000061, 43, 74, 35
customers, 2, 12, 489, 0.000058, 40, 74, 28
customers, 1, 12, 480, 0.000056, 40, 71, 27
customers, 2, 12, 519, 0.000061, 43, 74, 35
customers, 1, 12, 505, 0.000059, 42, 72, 35
customers, 2, 12, 513, 0.000060, 42, 73, 29
customers, 1, 12, 510, 0.000060, 42, 74, 29
customers, 2, 12, 511, 0.000060, 42, 74, 29
customers, 1, 12, 501, 0.000059, 41, 68, 28
customers, 2, 12, 471, 0.000055, 39, 62, 28
customers, 1, 12, 492, 0.000058, 41, 60, 34
customers, 2, 12, 481, 0.000057, 40, 62, 35
customers, 1, 12, 467, 0.000055, 38, 64, 28
customers, 2, 12, 482, 0.000057, 40, 66, 29
customers, 1, 12, 474, 0.000056, 39, 60, 35
customers, 2, 12, 460, 0.000054, 38, 63, 28
customers, 1, 12, 472, 0.000056, 39, 60, 35
customers, 2, 12, 476, 0.000056, 39, 61, 35
customers, 1, 12, 475, 0.000056, 39, 62, 34
customers, 2, 12, 480, 0.000056, 40, 64, 36
customers, 1, 12, 458, 0.000054, 38, 63, 27
customers, 2, 12, 462, 0.000054, 38, 64, 29
customers, 1, 12, 479, 0.000056, 39, 64, 34
customers, 2, 12, 499, 0.000059, 41, 68, 35
customers, 1, 12, 440, 0.000052, 36, 60, 28
customers, 2, 12, 472, 0.000056, 39, 64, 28
customers, 1, 12, 485, 0.000057, 40, 62, 29
customers, 2, 12, 467, 0.000055, 38, 63, 28
customers, 1, 12, 452, 0.000053, 37, 62, 27
customers, 2, 12, 471, 0.000055, 39, 64, 29
customers, 1, 12, 463, 0.000054, 38, 61, 28
customers, 2, 12, 487, 0.000057, 40, 62, 29
customers, 1, 12, 477, 0.000056, 39, 65, 28
customers, 2, 12, 499, 0.000059, 41, 65, 28
customers, 1, 12, 544, 0.000064, 45, 76, 35
customers, 2, 12, 468, 0.000055, 39, 61, 29
customers, 1, 12, 615, 0.000072, 51, 66, 34
customers, 2, 12, 460, 0.000054, 38, 62, 28
customers, 1, 12, 471, 0.000055, 39, 61, 28
customers, 2, 12, 479, 0.000056, 39, 62, 28
customers, 1, 12, 478, 0.000056, 39, 60, 33
customers, 2, 12, 468, 0.000055, 39, 64, 28
customers, 1, 12, 478, 0.000056, 39, 62, 34
customers, 2, 12, 501, 0.000059, 41, 82, 29
customers, 1, 12, 477, 0.000056, 39, 62, 35
customers, 2, 12, 482, 0.000057, 40, 63, 35
customers, 1, 12, 564, 0.000066, 47, 72, 35
customers, 2, 12, 479, 0.000056, 39, 59, 35
customers, 1, 12, 470, 0.000055, 39, 64, 28
customers, 2, 12, 479, 0.000056, 39, 63, 35
customers, 1, 12, 511, 0.000060, 42, 64, 29
customers, 2, 12, 472, 0.000056, 39, 64, 29
customers, 1, 12, 472, 0.000056, 39, 62, 27
customers, 2, 12, 476, 0.000056, 39, 62, 29
customers, 1, 12, 466, 0.000055, 38, 62, 28
customers, 2, 12, 475, 0.000056, 39, 63, 35
customers, 1, 12, 506, 0.000060, 42, 82, 28
customers, 2, 12, 498, 0.000059, 41, 67, 28
customers, 1, 12, 469, 0.000055, 39, 66, 28
customers, 2, 12, 471, 0.000055, 39, 61, 28
customers, 1, 12, 472, 0.000056, 39, 60, 34
customers, 2, 12, 466, 0.000055, 38, 64, 28
