Event, Reactor, Reaction, Worker, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay
Reaction ends, smokers, 0, 23, 0, 50, 1918717, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 51, 1919205, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 51, 1919477, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 51, 1920608, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 51, 1921029, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 52, 1921571, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 52, 1921845, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 52, 1922997, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 52, 1924067, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 53, 1924555, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 53, 1924829, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 53, 1926019, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 53, 1926875, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 54, 1927403, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 54, 1927678, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 54, 1928904, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 54, 1931413, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 55, 1931949, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 55, 1932227, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 55, 1933400, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 55, 1937278, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 56, 1937811, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 56, 1938078, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 56, 1939142, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 56, 1942950, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 57, 1943432, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 57, 1943694, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 57, 1944760, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 57, 1946478, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 58, 1946971, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 58, 1947248, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 58, 1948368, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 58, 1950592, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 59, 1951086, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 59, 1951358, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 59, 1952422, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 59, 1956321, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 60, 1956816, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 60, 1957091, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 60, 1958371, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 60, 1962179, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 61, 1962667, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 61, 1962934, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 61, 1964147, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 61, 1965307, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 62, 1965838, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 62, 1966112, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 62, 1967310, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 62, 1968398, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 63, 1968937, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 63, 1969209, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 63, 1970310, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 63, 1972193, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 64, 1972683, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 64, 1972947, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 64, 1974081, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 64, 1977902, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 65, 1980979, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 65, 1981259, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 65, 1982505, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 65, 1983073, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 66, 1983601, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 66, 1983878, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 66, 1985004, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 66, 1988113, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 67, 1988601, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 67, 1988873, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 67, 1990020, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 67, 1991900, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 68, 1992444, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 68, 1992721, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 68, 1993836, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 68, 1997790, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 69, 1998313, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 69, 1998582, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 69, 1999759, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 69, 2001190, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 70, 2001679, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 70, 2001956, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 70, 2003017, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 70, 2004233, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 71, 2004716, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 71, 2004982, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 71, 2006052, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 71, 2007772, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 72, 2008300, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 72, 2008590, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 72, 2009791, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 72, 2010879, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 73, 2011367, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 73, 2011652, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 73, 2012719, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 73, 2013305, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 74, 2013799, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 74, 2014079, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 74, 2015257, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 74, 2018345, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 75, 2018882, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 75, 2019164, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 75, 2020364, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 75, 2023252, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 76, 2023785, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 76, 2024065, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 76, 2025351, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 76, 2026852, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 77, 2027383, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 77, 2027665, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 77, 2028788, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 77, 2031818, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 78, 2032348, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 78, 2032660, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 78, 2033847, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 78, 2036804, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 79, 2037330, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 79, 2037607, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 79, 2038772, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 79, 2040925, NO TRIGGER, 0
Reaction starts, arbiter, 1, 23, 0, 80, 2041407, NO TRIGGER, 0
Reaction ends, arbiter, 1, 23, 0, 80, 2041685, NO TRIGGER, 0
Reaction starts, smokers, 0, 23, 0, 80, 2042751, NO TRIGGER, 0
Reaction ends, smokers, 0, 23, 0, 80, 2044540, NO TRIGGER, 0
