Event, Reactor, Reaction, Worker, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay
Reaction starts, smokers, 0, 0, 0, 63, 589472, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 63, 591802, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 64, 592426, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 64, 592636, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 64, 592752, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 64, 594089, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 64, 598849, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 65, 599476, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 65, 599716, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 65, 599833, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 65, 601276, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 65, 602009, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 66, 602686, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 66, 602906, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 66, 603026, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 66, 604426, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 66, 608289, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 67, 608909, NO TRIGGER, 0
Schedule called, arbiter, 0, 0, 0, 67, 609136, arbiter.chooseSmoker, 0
Reaction ends, arbiter, 1, 0, 0, 67, 609253, NO TRIGGER, 0
Reaction starts, smokers, 0, 0, 0, 67, 610603, NO TRIGGER, 0
Reaction ends, smokers, 0, 0, 0, 67, 612939, NO TRIGGER, 0
Reaction starts, arbiter, 1, 0, 0, 68, 613559, NO TRIGGER, 0
